ID,Ашиглалтанд орсон он,Барилгын давхар,Барилгын явц,Гараж,Байршил,Огноо,Тагт,Талбай,Төлбөрийн нөхцөл,Хаалга,Хэдэн давхарт,Цонх,Цонхны тоо,Шал,Үнэ
1,2017,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,366,Лизинггүй,Бүргэд,10,Вакум,8,Паркет,"9,836,066"
1,2023,14,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,3+ тагттай,232,Лизинггүй,Бүргэд,16,Вакум,6,Паркет,"9,827,586"
1,2018,12,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,3+ тагттай,367,Банкны лизингтэй,Төмөр,11,Вакум,8,Паркет,"9,809,264"
1,2023,22,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,92,Банкны лизингтэй,Бүргэд,12,Вакум,5,Паркет,"9,782,609"
1,2022,4,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,140,Лизинггүй,Төмөр вакум,2,Модон вакум,4,Чулуу,"9,777,857"
1,2022,16,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,133,Лизинггүй,Төмөр,4,Вакум,4,Паркет,"9,774,436"
1,2020,16,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,133,Лизинггүй,Төмөр,4,Вакум,3,Паркет,"9,774,436"
1,2019,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,133,Лизинггүй,Төмөр вакум,4,Вакум,4,Паркет,"9,774,436"
1,2019,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,133,Банкны лизингтэй,Төмөр,4,Вакум,4,Паркет,"9,774,436"
1,2022,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,133,Лизинггүй,Төмөр,4,Вакум,3,Паркет,"9,774,436"
1,2017,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,133,Лизинггүй,Бүргэд,4,Төмөр вакум,3,Паркет,"9,774,436"
1,2022,4,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,133,Лизинггүй,Бүргэд,16,Вакум,5,Паркет,"9,774,436"
1,2018,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,133,Банкны лизингтэй,Бүргэд,4,Вакум,4,Паркет,"9,774,436"
1,2022,7,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,133,Лизинггүй,Бүргэд,4,Вакум,4,Паркет,"9,774,436"
1,2024,23,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,159,Лизинггүй,Бүргэд,4,Вакум,6,Паркет,"9,712,811"
1,2023,15,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,159,Банкны лизингтэй,Бүргэд,4,Вакум,5,Паркет,"9,700,000"
1,2023,5,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,159,Банкны лизингтэй,Төмөр вакум,4,Вакум,5,Паркет,"9,700,000"
1,2023,22,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,159,Лизинггүй,Бүргэд,4,Вакум,5,Паркет,"9,700,000"
1,2023,23,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,1 тагттай,159,Лизинггүй,Төмөр вакум,5,Төмөр вакум,6,Мод,"9,700,000"
1,2017,15,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,Тагтгүй,202,Лизинггүй,Бүргэд,5,Вакум,4,Паркет,"9,653,465"
1,2024,20,Ашиглалтад орсон,Байхгүй,ХУД,1/1/2024,Тагтгүй,92,Лизинггүй,Төмөр,12,Вакум,4,Паркет,"9,652,174"
1,2018,16,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,121,Лизинггүй,Төмөр,8,Вакум,5,Паркет,"9,600,000"
1,2018,18,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,366,Банкны лизингтэй,Бүргэд,13,Вакум,8,Паркет,"9,562,842"
1,2018,18,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,1 тагттай,366,Лизинггүй,Төмөр,13,Вакум,8,Паркет,"9,562,842"
1,2019,14,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,2 тагттай,366,Лизинггүй,Төмөр,12,Вакум,8,Паркет,"9,562,842"
1,2017,12,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,367,Лизинггүй,Бүргэд,11,Төмөр вакум,8,Мод,"9,536,785"
1,1987,5,Ашиглалтад орсон,Байхгүй,БГД,1/1/2024,1 тагттай,42,Лизинггүй,Бүргэд,2,Вакум,4,Мод,"9,523,810"
1,2012,16,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,Тагтгүй,158,Бартертай,Бүргэд,12,Төмөр вакум,3,Паркет,"9,500,000"
1,2022,6,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,200,Лизинггүй,Бүргэд,1,Вакум,5,Паркет,"9,500,000"
1,2022,6,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,200,Банкны лизингтэй,Бүргэд,1,Вакум,6,Паркет,"9,500,000"
1,2021,16,Ашиглалтад орсон,Байгаа,СБД,1/1/2024,Тагтгүй,134,Лизинггүй,Бүргэд,7,Вакум,5,Паркет,"9,500,000"
1,2023,6,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,200,Лизинггүй,Бүргэд,1,Вакум,6,Паркет,"9,500,000"
1,2019,6,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,200,Лизинггүй,Бүргэд,1,Вакум,4,Паркет,"9,500,000"
1,2022,6,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,200,Банкны лизингтэй,Бүргэд,1,Вакум,8,Паркет,"9,500,000"
1,2022,6,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,200,Лизинггүй,Бүргэд,1,Вакум,6,Паркет,"9,500,000"
1,2023,6,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,2 тагттай,200,Банкны лизингтэй,Бүргэд,1,Вакум,5,Паркет,"9,500,000"
1,2023,6,Ашиглалтад орсон,Байгаа,ХУД,1/1/2024,1 тагттай,200,Банкны лизингтэй,Бүргэд,1,Вакум,6,Паркет,"9,500,000"
